country,year,hdi,gini,hom,ppincppp,pov,homale,country_id
Venezuela,1990,0.66000003,,12.53,9533.1299,,23.1,12
Venezuela,1991,0.67000002,,12.37,10560.14,,,12
Venezuela,1992,0.68000001,42.099998,15.78,11192.93,35,29.23,12
Venezuela,1993,0.68000001,,20.27,11233.85,,37.529999,12
Venezuela,1994,0.68000001,,21.870001,10961.48,,40.59,12
Venezuela,1995,0.68000001,47.200001,20.27,11388.12,51.200001,,12
Venezuela,1996,0.68000001,,21.98,11335.35,,40.689999,12
Venezuela,1997,0.69,,18.34,12017.63,,33.509998,12
Venezuela,1998,0.69,48.099998,19.360001,11946.84,48.299999,35.43,12
Venezuela,1999,0.68000001,47.799999,24.93,11171.73,53.099998,46.209999,12
Venezuela,2000,0.68000001,,32.84,11622.61,,61.279999,12
Venezuela,2001,0.69,47.200001,31.99,12064.38,51.200001,59.98,12
Venezuela,2002,0.69999999,49,37.970001,10968.67,60.700001,69.150002,12
Venezuela,2003,0.69,48.099998,43.990002,10137.18,67,82.540001,12
Venezuela,2004,0.70999998,47.5,37.060001,12103.94,61.5,69.5,12
Venezuela,2005,0.72000003,49.5,37.360001,13543.37,51.200001,70.519997,12
Venezuela,2006,0.73000002,44.799999,45.23,15094.29,38.799999,85.510002,12
Venezuela,2007,0.75,,47.799999,16600.119,,90.760002,12
Venezuela,2008,0.75999999,,52.23,17550.811,,99.309998,12
Venezuela,2009,0.75999999,,49.369999,16859.83,,93.540001,12
Venezuela,2010,0.75999999,,45.549999,16581.82,,85.82,12
Venezuela,2011,0.75999999,,48.450001,17402.279,,91.650002,12
Venezuela,2012,0.76999998,,54.540001,,,103.05,12
Venezuela,2013,0.76999998,,,,,,12
Venezuela,2014,0.76999998,,63.029999,,,,12
Venezuela,2015,0.76999998,,51.27,,,96.160004,12
Venezuela,2016,0.75999999,,56.619999,,,106.52,12
Venezuela,2017,0.74000001,,47.98,,,89.980003,12
Venezuela,2018,0.74000001,,,,,,12
Venezuela,2019,0.72000003,,40.98,,,,12
Venezuela,2020,0.69999999,,29.43,,,,12
Venezuela,2021,0.69,,19.309999,,,,12