country,hdi1990,hdi1991,hdi1992,hdi1993,hdi1994,hdi1995,hdi1996,hdi1997,hdi1998,hdi1999,hdi2000,hdi2001,hdi2002,hdi2003,hdi2004,hdi2005,hdi2006,hdi2007,hdi2008,hdi2009,hdi2010,hdi2011,hdi2012,hdi2013,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018,hdi2019,hdi2020,hdi2021,gini1990,gini1991,gini1992,gini1993,gini1994,gini1995,gini1996,gini1997,gini1998,gini1999,gini2000,gini2001,gini2002,gini2003,gini2004,gini2005,gini2006,gini2007,gini2008,gini2009,gini2010,gini2011,gini2012,gini2013,gini2014,gini2015,gini2016,gini2017,gini2018,gini2019,gini2020,gini2021,hom1990,hom1991,hom1992,hom1993,hom1994,hom1995,hom1996,hom1997,hom1998,hom1999,hom2000,hom2001,hom2002,hom2003,hom2004,hom2005,hom2006,hom2007,hom2008,hom2009,hom2010,hom2011,hom2012,hom2013,hom2014,hom2015,hom2016,hom2017,hom2018,hom2019,hom2020,hom2021,ppincppp1990,ppincppp1991,ppincppp1992,ppincppp1993,ppincppp1994,ppincppp1995,ppincppp1996,ppincppp1997,ppincppp1998,ppincppp1999,ppincppp2000,ppincppp2001,ppincppp2002,ppincppp2003,ppincppp2004,ppincppp2005,ppincppp2006,ppincppp2007,ppincppp2008,ppincppp2009,ppincppp2010,ppincppp2011,ppincppp2012,ppincppp2013,ppincppp2014,ppincppp2015,ppincppp2016,ppincppp2017,ppincppp2018,ppincppp2019,ppincppp2020,ppincppp2021,pov1990,pov1991,pov1992,pov1993,pov1994,pov1995,pov1996,pov1997,pov1998,pov1999,pov2000,pov2001,pov2002,pov2003,pov2004,pov2005,pov2006,pov2007,pov2008,pov2009,pov2010,pov2011,pov2012,pov2013,pov2014,pov2015,pov2016,pov2017,pov2018,pov2019,pov2020,pov2021,homale1990,homale1991,homale1992,homale1993,homale1994,homale1995,homale1996,homale1997,homale1998,homale1999,homale2000,homale2001,homale2002,homale2003,homale2004,homale2005,homale2006,homale2007,homale2008,homale2009,homale2010,homale2011,homale2012,homale2013,homale2014,homale2015,homale2016,homale2017,homale2018,homale2019,homale2020,homale2021
Argentina,0.72,0.73,0.74,0.74,0.74,0.75,0.75,0.76,0.76,0.77,0.78,0.78,0.79,0.79,0.8,0.8,0.81,0.82,0.83,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.84,0.84,0,46.8,45.5,44.9,45.9,48.9,49.5,49.1,50.7,49.8,51.1,53.3,53.8,50.9,48.4,47.7,46.3,46.2,44.9,43.7,43.6,42.6,41.3,40.9,41.6,0,42,41.1,41.3,42.9,42.3,42,0,0,0,0,0,0,0,0,0,0,0,8.35,9.42,7.75,6.05,5.63,5.35,5.36,5.89,6.49,5.8,6.05,6.31,7.25,7.54,6.56,6.01,5.26,5.37,5.16,5.37,4.62,7183.58,7990.19,8699.4,9506.51,10138.68,9925.13,10531.85,11444.47,11880.48,11506.7,11542.99,11159.33,9990.72,10974.32,12162.34,13513.67,14896.73,16510.45,17336.93,16249.73,18063.91,19322.23,19641.35,20131.68,19683.77,20105.2,20307.87,23597.12,23294.1,23007.84,20787.86,23754.36,0,14.3,14.9,15.1,15.7,20.5,22.4,21.3,23.3,24.2,26.3,31.1,44.4,29.6,24.7,20.8,16.8,15.4,14.1,12.8,11.2,9,8.5,8.5,9.1,0,8.8,7.9,9.7,11.2,14.1,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,11.45,,8.75,9.04,8.55,9.17,7.96
Bolivia,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.68,0.68,0.69,0.7,0.71,0.71,0.72,0.69,0.69,0,0,0,0,0,0,0,58.2,0,58.1,61.6,57.4,59.3,0,55,58.5,56.7,54.5,50.8,49.2,0,46.1,46.6,47.6,47.8,46.7,45.2,44.6,42.6,41.6,43.6,40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,5.7,6.53,4.95,4.22,3.49,3.49,2294.73,2446.02,2491.53,2606.58,2732.44,2865.23,2988.57,3132.59,3267.23,3267.43,3364.02,3436.37,3514.59,3617.4,3802.81,4025.11,4273.04,4509.21,4794.6,4902.61,5079.38,5363.99,5814.07,6500.88,6920.78,6992.13,7345.83,8244.93,8669.83,8890.46,8110.11,8885.24,0,0,0,0,0,0,0,46.1,0,50,55.8,51.8,53.8,0,45.8,47.2,42.1,41.2,33.9,28.9,0,23.5,23.7,21.8,20.2,20.5,22,21,19.1,15.5,17.3,15.2,,,,,,,,,,,,,,,,,,,13.87,,,,,,,5.99,7.01,8.37,5.76,4.83,3.91,3.76
Brazil,0.61,0.62,0.62,0.63,0.64,0.65,0.65,0.66,0.67,0.67,0.68,0.69,0.69,0.69,0.69,0.7,0.7,0.7,0.72,0.72,0.72,0.73,0.73,0.75,0.75,0.75,0.76,0.76,0.76,0.77,0.76,0.75,60.5,0,53.2,60.1,0,59.6,59.9,59.8,59.6,59,0,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.7,0,52.9,53.4,52.7,52,51.9,53.3,53.3,53.9,53.5,48.9,52.9,19.44,18.36,16.66,17.68,18.54,20.79,23.42,24.03,24.53,24.74,25.8,26.91,27.54,27.96,26.2,25.48,26.04,25.02,26.02,26.46,26.63,26.36,28.2,28.18,29.36,28.36,29.59,30.59,26.64,20.81,22.38,0,6617.94,6793.81,6797.15,7183.9,7644.22,8008.06,8208.22,8504.68,8503.7,8541.71,8994.74,9202.88,9510.82,9693.56,10407.84,10954.86,11614.5,12522.52,13281.07,13222.75,14254.52,14989.16,14994.34,15535.72,15664.8,14692.63,14208.16,14477.86,14971.05,15307.94,14900.1,16260.1,63.7,0,65.4,64.3,0,52.6,52.6,53,52,53.8,0,48,47.3,48.7,47.3,45,41.4,39,35.8,33.8,0,29.9,28.2,25.7,24.3,25.3,27,27.1,26.7,26.2,18.7,28.4,35.94,33.66,30.69,32.54,34.09,38.14,42.69,44.12,45.29,45.75,47.75,49.93,51.27,52.15,48.78,47.33,48.35,46.63,48.43,49.13,49.35,48.78,52.36,52.31,54.68,52.93,55.47,57.28,49.67,38.67,41.78,
Chile,0.71,0.72,0.72,0.72,0.72,0.73,0.74,0.74,0.75,0.76,0.76,0.77,0.78,0.78,0.79,0.8,0.8,0.8,0.81,0.81,0.81,0.82,0.82,0.84,0.84,0.85,0.85,0.85,0.86,0.86,0.85,0.86,57.2,0,54.8,0,56.4,0,54.9,0,55.5,0,52.8,0,0,51.5,0,0,47.3,0,0,47,0,46,0,45.8,0,44.4,0,44.4,0,0,44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,3.56,3.61,3.73,3.53,3.74,3.18,3.7,2.5,3.18,2.48,2.34,3.43,4.24,4.41,3.94,4.8,3.63,4437.06,4872.14,5533.63,6026.75,6473.89,7250.19,7959.49,8581.44,8927.84,8921.98,9468.32,9876.23,10239.39,10820.67,11735.18,12685.03,15676.58,16875.71,16550.45,16118.38,18104.72,20330.52,21584.68,22425.59,22779.43,22691.49,23492.29,24546.91,25564.54,25600.19,24941.24,28337.07,56,0,50.7,0,47.1,0,41.4,0,38.9,0,41.4,0,0,40.6,0,0,29.9,0,0,25.4,0,21.2,0,12.9,0,10.2,0,7.5,0,0,8,0,,,,,,,,,,,,,,,,6.14,6.15,6.17,5.87,6.35,5.27,6.11,4.61,5.16,4.27,4.17,5.91,7.38,7.88,6.94,8.51,6.64
Colombia,0.61,0.62,0.63,0.64,0.64,0.65,0.65,0.66,0.67,0.66,0.67,0.67,0.67,0.68,0.68,0.7,0.7,0.71,0.72,0.72,0.73,0.73,0.73,0.75,0.75,0.75,0.76,0.76,0.76,0.77,0.76,0.75,0,0,51.5,0,0,0,56.9,0,0,58.7,58.7,57.5,56,53.6,55,53.9,0,0,55.3,54.3,54.6,53.5,52.6,52.6,52.6,51,50.6,49.7,50.4,51.3,53.5,51.5,74.63,85.43,83.04,82.16,76.72,62.05,63.74,62.21,60.85,63.12,67.68,69.88,70.17,57.29,48.53,42.9,40.86,39.71,36.84,35.69,34.49,35.59,35.91,33.35,28.59,27.13,26.04,25.43,26.23,25.75,24.24,27.48,5083.67,5252.64,5479.89,5796.49,6143.69,6475.08,6607.5,6829.09,6825.87,6520.96,6753.46,6911.73,7085.62,7398.18,7888.45,8413,9135.68,9891.38,10291.2,10357.33,10830.2,11694.73,12095.65,12798.66,13390.03,13378.68,13971.34,14334.91,15161.32,15872.31,15103.07,17105,0,0,54.2,0,0,0,61.5,0,0,64.3,59.5,67,57.7,58,57.3,53.5,0,0,48.5,47.3,44.6,41.6,39.8,37.6,35.4,34.6,34.3,33.7,33.9,34.8,42.2,39.2,138.16,159,153.93,152.59,142.65,115.41,118.54,115.72,113.28,117.7,126.43,129.62,130.29,105.72,90.01,79.44,76.26,73.74,68.6,66.39,64.21,65.95,66.48,62.1,52.77,50.34,48.32,46.95,48.63,47.73,45.24,51.5
Ecuador,0.65,0.65,0.66,0.66,0.67,0.67,0.67,0.68,0.68,0.68,0.69,0.69,0.7,0.7,0.71,0.72,0.72,0.72,0.73,0.73,0.74,0.74,0.75,0.76,0.76,0.77,0.76,0.76,0.76,0.76,0.73,0.74,0,0,0,0,53.4,0,0,0,0,58.6,56.4,0,0,53.5,53.9,53.1,52.3,53.4,49.8,48.5,48.8,45.9,46.1,46.9,45,46,45,44.7,45.4,45.7,47.3,45.8,8.54,10.79,8.57,8.32,10.04,11.87,12.42,10.98,13.47,13.55,14.52,12.91,14.58,0,0,0,0,15.95,17.98,17.81,17.51,15.38,12.41,10.97,8.21,6.48,5.83,5.81,5.84,6.84,7.8,14.02,4723.55,4980.16,5092.72,5211.92,5444.83,5578.99,5674.71,5915.59,6070.3,5763.77,5857.5,6123.76,6362.5,6549.2,7151.7,7633.47,8075.33,8330.83,8877.78,8835.39,9104.36,9861.5,10304.89,11142.68,11708.65,11071.29,11068.86,11679.43,11887.49,11873.29,10937.11,11772.53,0,0,0,0,64.9,0,0,0,0,67.8,75.9,0,0,57.8,58.9,50.6,45.8,44.9,42.3,43.2,38.8,34.7,31.4,31.2,27.6,28.8,28.2,27.1,27.8,29.7,34.6,31.7,15.44,19.46,15.67,15.14,18.4,,,,,,26.7,23.47,26.29,26.35,32.05,28.36,30.84,28.65,33,31.84,31.83,27.47,21.83,18.72,14.08,10.84,9.5,9.27,10.06,11.96,13.73,25.52
Guyana,0.51,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.57,0.58,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.64,0.65,0.66,0.67,0.67,0.67,0.68,0.68,0.69,0.7,0.7,0.71,0.72,0.71,0,0,0,0,0,0,0,0,45.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.05,25.8,14.09,15.66,14.41,14.5,11.68,11.52,14.93,12.01,10.01,10.53,18.81,27.48,17.23,18.69,20.17,15.2,20.95,15.57,18.72,17.47,18.68,20.74,19.84,19.73,18.71,15.07,14.13,17.03,19.69,16.28,3032.57,3338.54,3675.07,4057.81,4483.94,4794.59,5257.63,5666.52,5623.02,5860.86,5903.82,6168.28,6331.09,6413.2,6689.53,6771.06,7351.02,8112.35,8439.51,8834.22,9351.79,10092.08,10640.67,11198.16,11130.49,11382.24,11479.46,12193.62,12671.7,13364.22,19462.93,24193.53,0,0,85.2,0,0,0,0,0,56.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,30.07,34.38,23.08,31.95,23.54,29.3,25.95,30.31,33.75,,32.56,35.44,25.18,22.8,30.04,30.26,30.99
Paraguay,0.6,0.6,0.61,0.61,0.62,0.62,0.63,0.64,0.64,0.65,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.68,0.68,0.69,0.7,0.7,0.72,0.72,0.72,0.72,0.72,0.73,0.73,0.73,0.72,40.8,0,0,0,0,58.2,0,54.9,0,54.6,0,54.6,57.3,54.9,52.3,51.4,53,53,50.7,49.1,51,52.3,47.6,47.9,50.7,47.6,47.9,48.5,46,45.7,43.5,42.9,0,0,0,0,0,0,0,0,0,0,19.42,25.21,25.95,24,22.32,16.2,13.41,14.01,14.76,14.4,12.85,11.24,10.96,10.06,9.49,9.99,10.68,8.51,7.71,8.48,7.27,7.83,5603.71,5839.1,5918.62,6199.79,6507.07,6929.36,7003.39,7262.05,7191.82,7046.72,6905.25,6884.07,6890.74,7238.95,7644.81,7963.72,8514.23,9126.94,9809.75,9747.69,10833.9,11384.37,10861.36,11992.08,12411.3,12436.23,13024.15,13604.17,14181.43,14186.93,14063.27,15091.33,21.8,0,0,0,0,43.6,0,38,0,41.4,0,39.5,51.7,44.7,42.8,39.1,43.8,40.3,37.2,35.7,34.1,32.2,27,23.3,22.6,22.6,23.7,21,19.6,19.7,22.3,20.8,,,,,,,,,,,,,,,,,,26.16,27.22,26.18,23,20.23,19.32,18.27,16.61,18.03,19.49,15.15,13.4,15.24,12.39,13.7
Peru,0.62,0.63,0.63,0.63,0.64,0.65,0.65,0.66,0.66,0.67,0.68,0.68,0.69,0.68,0.69,0.69,0.69,0.7,0.71,0.71,0.73,0.73,0.74,0.75,0.76,0.76,0.77,0.77,0.78,0.78,0.76,0.76,0,0,0,0,0,0,0,53.3,55.1,54.8,49.1,51.3,53.6,53.1,49.9,50.5,50.3,50,47.5,47,45.5,44.7,44.4,43.9,43.1,43.4,43.6,43.3,42.4,41.6,43.8,40.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,6.62,6.7,6.84,7.32,7.82,7.87,7.61,7.27,5.71,0,3351.99,3467.91,3456.71,3650.29,4105.18,4416.12,4537.8,4826.26,4776.21,4834.65,5000.78,5076.39,5373.1,5647.67,6027.77,6548.05,7198.51,7961.3,8791.26,8881.93,9664.27,10400.95,10679.8,11196.38,11410.33,11481.46,11933.6,12442.75,13001.46,13275.28,11813.99,13830.57,0,0,0,0,0,0,0,61.3,62.3,62.1,62.4,63.9,60.2,59.4,59.8,61.5,55.9,50.3,46.4,44.6,40.5,38.1,35.3,34.5,33.4,32.7,31.8,32.6,30.4,28.9,43,33.7,,,,,,,,,,,,,,,,,,,,,,9.08,11.06,11.37,11.39,11.88,12,11.49,11.94,11.57,9.19,
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.68,0.69,0.7,0.71,0.72,0.72,0.73,0.73,0.73,0.74,0.74,0.75,0.75,0.76,0.76,0.74,0.73,0,0,0,0,0,0,0,0,0,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,16.21,11.5,11.91,9.01,13.37,11.88,8.52,8.05,0,0,0,0,5.14,5.62,5.91,7.05,6.13,6.4,5,9.06,5.71,6487.97,6835.07,6959.57,6602.28,6904.32,6920.25,6967.58,7341.98,7449.61,7310.94,7497.48,7850.77,8059.59,8595.72,9449.32,10072.76,10863.02,11595.3,12169.23,12475,13129.33,14030.21,15308.16,16318.6,16764.04,16721.3,14633.19,17753.06,18881.62,19231.65,16187.82,16294.49,0,0,0,0,0,0,0,0,0,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,11.44,12.28,,,,,9.2,9.11,7.99,8.6,8.52,10.46,7.68,14.87,9.17
Uruguay,0.7,0.71,0.71,0.71,0.72,0.72,0.72,0.74,0.74,0.75,0.75,0.76,0.76,0.77,0.77,0.77,0.77,0.77,0.77,0.78,0.79,0.79,0.8,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9,46.4,45.1,45.5,44.5,42.2,39.9,40.5,40.1,40.1,39.7,39.5,39.7,39.7,40.2,40.8,6.61,6.19,5.77,0,0,5.95,6.35,7.49,7.48,6.59,6.5,6.6,6.99,5.95,6.04,5.73,6.08,5.83,6.62,6.76,6.11,5.92,7.92,7.69,7.9,8.61,7.82,8.27,12.28,11.49,9.86,8.9,6655.41,7082.25,7772.67,8121.98,8848.66,8852.49,9463.33,10390,10922.46,10853.76,10841.59,10631.55,9945.82,10212.17,10999.1,12176.09,13048.08,14250,15530.65,16254.33,17688.38,18937.2,19290.29,20445.56,21645.12,21948.77,22618.69,23384.74,23950.39,24551.75,23309.79,25663.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,19.6,14.7,13.6,12,8.5,7.8,7.4,6.3,6,5.6,4.6,4.9,5.1,7.2,6.7,,,,,,,,,,,,,,,,,9.93,10.09,11,11.22,10.14,9.74,14.08,12.62,13.25,14.78,13.46,13.78,21.96,20.85,18.07,15.97
Venezuela,0.66,0.67,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.69,0.7,0.69,0.71,0.72,0.73,0.75,0.76,0.76,0.76,0.76,0.77,0.77,0.77,0.77,0.76,0.74,0.74,0.72,0.7,0.69,0,0,42.1,0,0,47.2,0,0,48.1,47.8,0,47.2,49,48.1,47.5,49.5,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,12.37,15.78,20.27,21.87,20.27,21.98,18.34,19.36,24.93,32.84,31.99,37.97,43.99,37.06,37.36,45.23,47.8,52.23,49.37,45.55,48.45,54.54,0,63.03,51.27,56.62,47.98,0,40.98,29.43,19.31,9533.13,10560.14,11192.93,11233.85,10961.48,11388.12,11335.35,12017.63,11946.84,11171.73,11622.61,12064.38,10968.67,10137.18,12103.94,13543.37,15094.29,16600.12,17550.81,16859.83,16581.82,17402.28,,,,,,,,,,,0,0,35,0,0,51.2,0,0,48.3,53.1,0,51.2,60.7,67,61.5,51.2,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,,29.23,37.53,40.59,,40.69,33.51,35.43,46.21,61.28,59.98,69.15,82.54,69.5,70.52,85.51,90.76,99.31,93.54,85.82,91.65,103.05,,,96.16,106.52,89.98,,,,